,c_ch4,f_ch4,w,phi,z,T,ch4
251,5.203465762777316e+16,0.002,-1.5e-09,0.65,25.183946488294314,4.0,1.8615658321849085e-09
252,5.203465763385636e+16,0.002,-1.5e-09,0.65,25.28428093645485,4.0,1.8615658321849085e-09
253,5.203465763945636e+16,0.002,-1.5e-09,0.65,25.384615384615387,4.0,1.8615658321849085e-09
254,5.203465764461156e+16,0.002,-1.5e-09,0.65,25.48494983277592,4.0,1.8615658321849085e-09
255,5.203465764935636e+16,0.002,-1.5e-09,0.65,25.585284280936456,4.0,1.8615658321849085e-09
256,5.203465765372196e+16,0.002,-1.5e-09,0.65,25.68561872909699,4.0,1.8615658321849085e-09
257,5.203465765773796e+16,0.002,-1.5e-09,0.65,25.785953177257525,4.0,1.8615658321849085e-09
258,5.203465766143156e+16,0.002,-1.5e-09,0.65,25.88628762541806,4.0,1.8615658321849085e-09
259,5.203465766482836e+16,0.002,-1.5e-09,0.65,25.986622073578594,4.0,1.8615658321849085e-09
260,5.203465766795076e+16,0.002,-1.5e-09,0.65,26.086956521739133,4.0,1.8615658321849085e-09
